VANID,Signup Date,Status,Role,Event Name,Event Type,Event Date,Shift Start Time,Shift End Time,Location Name
119696014,5/12/23,Completed,Volunteer,May Shelter Shift,Shelter Shift,5/2/23,2023-05-02 19:00:00.0000000 -04:00,2023-05-02 22:00:00.0000000 -04:00,Sisu Youth Services
119696014,1/1/24,Completed,Attendee,Volunteer Refresher ,Training,1/6/24,2024-01-06 14:00:00.0000000 -06:00,2024-01-06 16:00:00.0000000 -06:00,Sisu Youth Services
119696014,11/29/23,No Show,Attendee,Volunteer Refresher,Training,12/2/23,2023-12-02 14:00:00.0000000 -06:00,2023-12-02 16:00:00.0000000 -06:00,Sisu Youth Services
119698231,4/4/23,Completed,Volunteer,Shelter Shift,Shelter Shift,3/15/23,2023-03-15 19:00:00.0000000 -04:00,2023-03-15 22:00:00.0000000 -04:00,Sisu Youth Services
119698231,4/4/23,Completed,Volunteer,Shelter Shift,Shelter Shift,3/16/23,2023-03-16 19:00:00.0000000 -04:00,2023-03-16 22:00:00.0000000 -04:00,Sisu Youth Services
119698231,2/13/23,Completed,Volunteer,Shelter Shift,Shelter Shift,1/20/23,2023-01-20 16:00:00.0000000 -06:00,2023-01-20 19:00:00.0000000 -06:00,Sisu Youth Services
119698231,2/13/23,Completed,Volunteer,Shelter Shift,Shelter Shift,1/6/23,2023-01-06 16:00:00.0000000 -06:00,2023-01-06 19:00:00.0000000 -06:00,Sisu Youth Services
119698231,2/13/23,Completed,Volunteer,Shelter Shift,Shelter Shift,1/4/23,2023-01-04 16:00:00.0000000 -06:00,2023-01-04 19:00:00.0000000 -06:00,Sisu Youth Services
119755652,2/15/23,Confirmed,Volunteer,Shelter Shift,Shelter Shift,1/27/23,2023-01-27 16:00:00.0000000 -06:00,2023-01-27 19:00:00.0000000 -06:00,Sisu Youth Services
120699901,2/15/23,Completed,Volunteer,Meal Train,Meal Train,1/5/23,2023-01-05 17:00:00.0000000 -05:00,2023-01-05 18:00:00.0000000 -05:00,Sisu Youth Services
120826851,4/4/23,Completed,Attendee,February Volunteer Training,Training,2/26/23,2023-02-26 15:30:00.0000000 -05:00,2023-02-26 17:00:00.0000000 -05:00,
120871947,4/4/23,Completed,Attendee,February Volunteer Training,Training,2/26/23,2023-02-26 15:30:00.0000000 -05:00,2023-02-26 17:00:00.0000000 -05:00,
120871947,4/2/24,Completed,Volunteer,Birthday Party,PYD,3/29/24,2024-03-29 16:00:00.0000000 -05:00,2024-03-29 18:00:00.0000000 -05:00,Sisu Youth Services
121325048,3/10/23,Completed,Volunteer,Shelter Shift,Shelter Shift,2/11/23,2023-02-11 16:00:00.0000000 -05:00,2023-02-11 19:00:00.0000000 -05:00,Sisu Youth Services
121325048,3/10/23,Completed,Volunteer,Shelter Shift,Shelter Shift,2/4/23,2023-02-04 16:00:00.0000000 -05:00,2023-02-04 19:00:00.0000000 -05:00,Sisu Youth Services
121325048,3/10/23,Completed,Volunteer,Shelter Shift,Shelter Shift,2/18/23,2023-02-18 16:00:00.0000000 -05:00,2023-02-18 19:00:00.0000000 -05:00,Sisu Youth Services
121325048,3/10/23,Completed,Volunteer,Shelter Shift,Shelter Shift,2/25/23,2023-02-25 16:00:00.0000000 -05:00,2023-02-25 19:00:00.0000000 -05:00,Sisu Youth Services
121325048,5/3/23,Completed,Volunteer,April Shelter Shift,Shelter Shift,4/8/23,2023-04-08 16:00:00.0000000 -04:00,2023-04-08 19:00:00.0000000 -04:00,Sisu Youth Services
121325048,5/3/23,Completed,Volunteer,April Shelter Shift,Shelter Shift,4/15/23,2023-04-15 16:00:00.0000000 -04:00,2023-04-15 19:00:00.0000000 -04:00,Sisu Youth Services
121325048,5/8/23,Confirmed,Volunteer,May Shelter Shift Mornings ,Shelter Shift,5/6/23,2023-05-06 10:00:00.0000000 -04:00,2023-05-06 13:00:00.0000000 -04:00,Sisu Youth Services
121325048,5/8/23,Confirmed,Volunteer,May Meal Train,Meal Train,5/4/23,2023-05-04 17:00:00.0000000 -04:00,2023-05-04 18:00:00.0000000 -04:00,Sisu Youth Services
121374991,7/14/23,Completed,Volunteer,Volunteer Paint Party at NEW Sisu HQ,Group Volunteer,7/15/23,2023-07-15 12:00:00.0000000 -05:00,2023-07-15 15:00:00.0000000 -05:00,Sisu Youth Services
121374991,4/3/23,Completed,Volunteer,Shelter Shift ,Shelter Shift,3/10/23,2023-03-10 16:00:00.0000000 -05:00,2023-03-10 19:00:00.0000000 -05:00,Sisu Youth Services
121509144,2/13/23,Completed,Volunteer,Shelter Shift,Shelter Shift,1/4/23,2023-01-04 16:00:00.0000000 -06:00,2023-01-04 19:00:00.0000000 -06:00,Sisu Youth Services
121509144,2/13/23,Completed,Volunteer,Shelter Shift,Shelter Shift,1/9/23,2023-01-09 16:00:00.0000000 -06:00,2023-01-09 19:00:00.0000000 -06:00,Sisu Youth Services
121509144,5/12/23,Completed,Volunteer,May Shelter Shift ,Shelter Shift,5/3/23,2023-05-03 16:00:00.0000000 -04:00,2023-05-03 19:00:00.0000000 -04:00,Sisu Youth Services
121616871,6/7/24,Completed,Volunteer,Pride Outreach Team,Shelter Shift,6/14/24,2024-06-14 17:30:00.0000000 -05:00,2024-06-14 19:30:00.0000000 -05:00,Sisu Youth Services
121649267,1/2/24,Completed,Volunteer,January Meal Train,Meal Train,1/1/24,2024-01-01 16:30:00.0000000 -06:00,2024-01-01 18:00:00.0000000 -06:00,Sisu Youth Services
121649267,5/8/23,Confirmed,Volunteer,May Meal Train,Meal Train,5/1/23,2023-05-01 17:00:00.0000000 -04:00,2023-05-01 18:00:00.0000000 -04:00,Sisu Youth Services
121649267,3/10/23,Completed,Volunteer,Meal Train,Meal Train,2/18/23,2023-02-18 17:00:00.0000000 -05:00,2023-02-18 18:00:00.0000000 -05:00,Sisu Youth Services
121649267,2/15/23,Completed,Volunteer,Meal Train,Meal Train,1/25/23,2023-01-25 17:00:00.0000000 -05:00,2023-01-25 18:00:00.0000000 -05:00,Sisu Youth Services
121649267,2/15/23,Completed,Volunteer,Meal Train,Meal Train,1/1/23,2023-01-01 17:00:00.0000000 -05:00,2023-01-01 18:00:00.0000000 -05:00,Sisu Youth Services
121649431,2/15/23,Completed,Volunteer,Meal Train,Meal Train,1/4/23,2023-01-04 17:00:00.0000000 -05:00,2023-01-04 18:00:00.0000000 -05:00,Sisu Youth Services
121649431,5/9/24,Completed,Volunteer,Birthday Party,PYD,5/31/24,2024-05-31 16:00:00.0000000 -05:00,2024-05-31 18:00:00.0000000 -05:00,Sisu Youth Services
121649456,4/2/24,Completed,Volunteer,April Meal Train,Meal Train,4/13/24,2024-04-13 16:00:00.0000000 -05:00,2024-04-13 18:30:00.0000000 -05:00,Sisu Youth Services
121649456,2/15/23,Completed,Volunteer,Meal Train,Meal Train,1/7/23,2023-01-07 17:00:00.0000000 -05:00,2023-01-07 18:00:00.0000000 -05:00,Sisu Youth Services
121649507,2/15/23,Completed,Volunteer,Meal Train,Meal Train,1/13/23,2023-01-13 17:00:00.0000000 -05:00,2023-01-13 18:00:00.0000000 -05:00,Sisu Youth Services
121649507,3/10/23,Completed,Volunteer,Meal Train,Meal Train,2/24/23,2023-02-24 17:00:00.0000000 -05:00,2023-02-24 18:00:00.0000000 -05:00,Sisu Youth Services
121649507,3/10/23,Completed,Volunteer,Meal Train,Meal Train,2/25/23,2023-02-25 17:00:00.0000000 -05:00,2023-02-25 18:00:00.0000000 -05:00,Sisu Youth Services
121649507,5/3/23,Completed,Volunteer,April Meal Train ,Meal Train,4/19/23,2023-04-19 17:00:00.0000000 -04:00,2023-04-19 18:00:00.0000000 -04:00,Sisu Youth Services
121649507,1/5/24,No Show,Attendee,Volunteer Refresher ,Training,1/6/24,2024-01-06 14:00:00.0000000 -06:00,2024-01-06 16:00:00.0000000 -06:00,Sisu Youth Services
121649507,11/8/23,Sched-Web,Volunteer,November Meal Train ,Meal Train,11/22/23,2023-11-22 16:00:00.0000000 -06:00,2023-11-22 18:00:00.0000000 -06:00,Sisu Youth Services
121649507,10/6/23,Sched-Web,Volunteer,Oct Meal Train ,Meal Train,10/18/23,2023-10-18 16:30:00.0000000 -05:00,2023-10-18 18:00:00.0000000 -05:00,Sisu Youth Services
121649507,1/20/25,Completed,Volunteer,Meal Train,Meal Train,1/29/25,2025-01-29 16:00:00.0000000 -06:00,2025-01-29 19:00:00.0000000 -06:00,Sisu Youth Services
121649523,2/15/23,Completed,Volunteer,Meal Train,Meal Train,1/15/23,2023-01-15 17:00:00.0000000 -05:00,2023-01-15 18:00:00.0000000 -05:00,Sisu Youth Services
121649528,2/15/23,Completed,Volunteer,Meal Train,Meal Train,1/16/23,2023-01-16 17:00:00.0000000 -05:00,2023-01-16 18:00:00.0000000 -05:00,Sisu Youth Services
121649528,3/10/23,Completed,Volunteer,Meal Train,Meal Train,2/20/23,2023-02-20 17:00:00.0000000 -05:00,2023-02-20 18:00:00.0000000 -05:00,Sisu Youth Services
121677250,4/4/23,Completed,Volunteer,Meal Train,Meal Train,3/25/23,2023-03-25 17:00:00.0000000 -04:00,2023-03-25 18:00:00.0000000 -04:00,Sisu Youth Services
121677250,4/4/23,Completed,Volunteer,Meal Train,Meal Train,3/19/23,2023-03-19 17:00:00.0000000 -04:00,2023-03-19 18:00:00.0000000 -04:00,Sisu Youth Services
121677250,9/6/23,Sched-Web,Volunteer,Sept Meal Train ,Meal Train,9/17/23,2023-09-17 16:30:00.0000000 -05:00,2023-09-17 18:30:00.0000000 -05:00,Sisu Youth Services
121677250,12/14/23,Completed,Volunteer,Dec Meal Train,Meal Train,12/16/23,2023-12-16 16:00:00.0000000 -06:00,2023-12-16 17:30:00.0000000 -06:00,Sisu Youth Services
121677250,12/20/23,Completed,Volunteer,Dec Meal Train,Meal Train,12/28/23,2023-12-28 16:00:00.0000000 -06:00,2023-12-28 17:30:00.0000000 -06:00,Sisu Youth Services
121677250,3/14/24,Completed,Volunteer,March Meal Train,Meal Train,3/29/24,2024-03-29 16:30:00.0000000 -06:00,2024-03-29 18:00:00.0000000 -06:00,Sisu Youth Services
121904370,4/4/23,Completed,Attendee,February Volunteer Training,Training,2/26/23,2023-02-26 15:30:00.0000000 -05:00,2023-02-26 17:00:00.0000000 -05:00,
121904431,4/5/23,Completed,Attendee,March Volunteer Training ,Training,3/19/23,2023-03-19 15:30:00.0000000 -04:00,2023-03-19 17:00:00.0000000 -04:00,
121904431,4/4/23,Completed,Volunteer,Shelter Shift ,Shelter Shift,3/14/23,2023-03-14 16:00:00.0000000 -04:00,2023-03-14 19:00:00.0000000 -04:00,Sisu Youth Services
121904431,7/14/23,Sched-Web,Volunteer,Volunteer Paint Party at NEW Sisu HQ,Group Volunteer,7/23/23,2023-07-23 09:00:00.0000000 -05:00,2023-07-23 12:00:00.0000000 -05:00,Sisu Youth Services
121904431,5/3/23,Completed,Volunteer,April Shelter Shift,Shelter Shift,4/2/23,2023-04-02 16:00:00.0000000 -04:00,2023-04-02 19:00:00.0000000 -04:00,Sisu Youth Services
121904431,5/3/23,Completed,Volunteer,April Shelter Shift,Shelter Shift,4/15/23,2023-04-15 16:00:00.0000000 -04:00,2023-04-15 19:00:00.0000000 -04:00,Sisu Youth Services
121909568,5/8/23,Completed,Volunteer,May Shelter Shift ,Shelter Shift,5/1/23,2023-05-01 16:00:00.0000000 -04:00,2023-05-01 19:00:00.0000000 -04:00,Sisu Youth Services
122065503,10/6/23,Completed,Volunteer,Oct Meal Train ,Meal Train,10/15/23,2023-10-15 16:30:00.0000000 -05:00,2023-10-15 18:00:00.0000000 -05:00,Sisu Youth Services
122065503,3/10/23,Completed,Volunteer,Meal Train,Meal Train,2/1/23,2023-02-01 17:00:00.0000000 -05:00,2023-02-01 18:00:00.0000000 -05:00,Sisu Youth Services
122065503,3/10/23,Completed,Volunteer,Meal Train,Meal Train,2/2/23,2023-02-02 17:00:00.0000000 -05:00,2023-02-02 18:00:00.0000000 -05:00,Sisu Youth Services
122065503,12/8/23,Completed,Volunteer,Dec Meal Train,Meal Train,12/7/23,2023-12-07 16:00:00.0000000 -06:00,2023-12-07 17:30:00.0000000 -06:00,Sisu Youth Services
122065503,10/6/23,Completed,Volunteer,Oct Meal Train ,Meal Train,10/20/23,2023-10-20 16:30:00.0000000 -05:00,2023-10-20 18:00:00.0000000 -05:00,Sisu Youth Services
122065503,10/6/23,Completed,Volunteer,Oct Meal Train ,Meal Train,10/7/23,2023-10-07 16:30:00.0000000 -05:00,2023-10-07 18:00:00.0000000 -05:00,Sisu Youth Services
122065503,10/6/23,Completed,Volunteer,Oct Meal Train ,Meal Train,10/21/23,2023-10-21 16:30:00.0000000 -05:00,2023-10-21 18:00:00.0000000 -05:00,Sisu Youth Services
122065519,3/10/23,Completed,Volunteer,Meal Train,Meal Train,1/6/23,2023-01-06 17:00:00.0000000 -05:00,2023-01-06 18:00:00.0000000 -05:00,Sisu Youth Services
122065519,10/6/23,Sched-Web,Volunteer,Oct Meal Train ,Meal Train,10/16/23,2023-10-16 16:30:00.0000000 -05:00,2023-10-16 18:00:00.0000000 -05:00,Sisu Youth Services
122065558,8/8/23,Sched-Web,Volunteer,August Meal Train ,Meal Train,8/14/23,2023-08-14 16:30:00.0000000 -04:00,2023-08-14 18:00:00.0000000 -04:00,Sisu Youth Services
122065558,8/8/23,Completed,Volunteer,July Meal Train ,Meal Train,7/10/23,2023-07-10 16:00:00.0000000 -04:00,2023-07-10 18:30:00.0000000 -04:00,Sisu Youth Services
122065558,5/12/23,Completed,Volunteer,May Meal Train,Meal Train,5/8/23,2023-05-08 17:00:00.0000000 -04:00,2023-05-08 18:00:00.0000000 -04:00,Sisu Youth Services
122065558,5/3/23,Completed,Volunteer,April Meal Train ,Meal Train,4/11/23,2023-04-11 17:00:00.0000000 -04:00,2023-04-11 18:00:00.0000000 -04:00,Sisu Youth Services
122065558,5/3/23,Completed,Volunteer,April Meal Train ,Meal Train,4/10/23,2023-04-10 17:00:00.0000000 -04:00,2023-04-10 18:00:00.0000000 -04:00,Sisu Youth Services
122065558,4/4/23,Completed,Volunteer,Meal Train,Meal Train,3/13/23,2023-03-13 17:00:00.0000000 -04:00,2023-03-13 18:00:00.0000000 -04:00,Sisu Youth Services
122065558,3/10/23,Completed,Volunteer,Meal Train,Meal Train,2/13/23,2023-02-13 17:00:00.0000000 -05:00,2023-02-13 18:00:00.0000000 -05:00,Sisu Youth Services
122065558,1/2/24,Completed,Volunteer,January Meal Train,Meal Train,1/8/24,2024-01-08 16:30:00.0000000 -06:00,2024-01-08 18:00:00.0000000 -06:00,Sisu Youth Services
122065558,1/18/24,Completed,Volunteer,January Meal Train,Meal Train,1/20/24,2024-01-20 16:30:00.0000000 -06:00,2024-01-20 18:00:00.0000000 -06:00,Sisu Youth Services
122065558,2/27/24,Completed,Volunteer,March Meal Train,Meal Train,3/12/24,2024-03-12 16:30:00.0000000 -06:00,2024-03-12 18:00:00.0000000 -06:00,Sisu Youth Services
122065558,1/30/24,Completed,Volunteer,February Meal Train,Meal Train,2/3/24,2024-02-03 16:00:00.0000000 -06:00,2024-02-03 17:30:00.0000000 -06:00,Sisu Youth Services
122065558,5/3/24,Completed,Volunteer,April Meal Train,Meal Train,4/8/24,2024-04-08 16:00:00.0000000 -05:00,2024-04-08 18:30:00.0000000 -05:00,Sisu Youth Services
122065558,6/7/24,Completed,Volunteer,June Meal Train,Meal Train,6/8/24,2024-06-08 17:00:00.0000000 -05:00,2024-06-08 19:30:00.0000000 -05:00,Sisu Youth Services
122065558,6/7/24,Completed,Volunteer,June Meal Train,Meal Train,6/10/24,2024-06-10 17:00:00.0000000 -05:00,2024-06-10 19:30:00.0000000 -05:00,Sisu Youth Services
122065558,5/7/24,Completed,Volunteer,May Meal Train,Meal Train,5/11/24,2024-05-11 16:00:00.0000000 -05:00,2024-05-11 19:00:00.0000000 -05:00,Sisu Youth Services
122065558,5/16/24,Completed,Volunteer,May Meal Train,Meal Train,5/25/24,2024-05-25 16:00:00.0000000 -05:00,2024-05-25 19:00:00.0000000 -05:00,Sisu Youth Services
122065558,5/7/24,Completed,Volunteer,May Meal Train,Meal Train,5/13/24,2024-05-13 16:00:00.0000000 -05:00,2024-05-13 19:00:00.0000000 -05:00,Sisu Youth Services
122065558,9/23/24,Completed,Volunteer,Meal Train,Meal Train,9/14/24,2024-09-14 16:30:00.0000000 -05:00,2024-09-14 19:30:00.0000000 -05:00,Sisu Youth Services
122065558,8/19/24,Completed,Volunteer,Meal Train,Meal Train,8/17/24,2024-08-17 16:30:00.0000000 -05:00,2024-08-17 19:30:00.0000000 -05:00,Sisu Youth Services
122065558,9/23/24,Completed,Volunteer,Meal Train,Meal Train,9/9/24,2024-09-09 16:30:00.0000000 -05:00,2024-09-09 19:30:00.0000000 -05:00,Sisu Youth Services
122065558,9/23/24,Completed,Volunteer,Meal Train,Meal Train,9/28/24,2024-09-28 16:30:00.0000000 -05:00,2024-09-28 19:30:00.0000000 -05:00,Sisu Youth Services
122065558,2/12/25,Completed,Volunteer,Meal Train,Meal Train,10/19/24,2024-10-19 16:30:00.0000000 -05:00,2024-10-19 19:30:00.0000000 -05:00,Sisu Youth Services
122065558,2/12/25,Completed,Volunteer,Meal Train,Meal Train,10/14/24,2024-10-14 16:30:00.0000000 -05:00,2024-10-14 19:30:00.0000000 -05:00,Sisu Youth Services
122065558,8/19/24,Completed,Volunteer,Meal Train,Meal Train,8/3/24,2024-08-03 16:30:00.0000000 -05:00,2024-08-03 19:30:00.0000000 -05:00,Sisu Youth Services
122065558,8/19/24,Completed,Volunteer,Meal Train,Meal Train,8/12/24,2024-08-12 16:30:00.0000000 -05:00,2024-08-12 19:30:00.0000000 -05:00,Sisu Youth Services
122065558,8/19/24,Completed,Volunteer,Meal Train,Meal Train,8/31/24,2024-08-31 16:30:00.0000000 -05:00,2024-08-31 19:30:00.0000000 -05:00,Sisu Youth Services
122065558,7/29/24,Completed,Volunteer,Meal Train,Meal Train,7/20/24,2024-07-20 16:30:00.0000000 -05:00,2024-07-20 19:30:00.0000000 -05:00,Sisu Youth Services
122065558,7/29/24,Completed,Volunteer,Meal Train,Meal Train,7/6/24,2024-07-06 16:30:00.0000000 -05:00,2024-07-06 19:30:00.0000000 -05:00,Sisu Youth Services
122065558,7/29/24,Completed,Volunteer,Meal Train,Meal Train,7/8/24,2024-07-08 16:30:00.0000000 -05:00,2024-07-08 19:30:00.0000000 -05:00,Sisu Youth Services
122065558,2/4/25,Completed,Volunteer,Meal Train,Meal Train,1/25/25,2025-01-25 16:00:00.0000000 -06:00,2025-01-25 19:00:00.0000000 -06:00,Sisu Youth Services
122065558,2/4/25,Completed,Volunteer,Meal Train,Meal Train,1/11/25,2025-01-11 16:00:00.0000000 -06:00,2025-01-11 19:00:00.0000000 -06:00,Sisu Youth Services
122065558,2/4/25,Completed,Volunteer,Meal Train,Meal Train,1/13/25,2025-01-13 16:00:00.0000000 -06:00,2025-01-13 19:00:00.0000000 -06:00,Sisu Youth Services
122065558,2/12/25,Completed,Volunteer,Meal Train,Meal Train,2/22/25,2025-02-22 16:00:00.0000000 -06:00,2025-02-22 19:00:00.0000000 -06:00,Sisu Youth Services
122065558,2/12/25,Completed,Volunteer,Meal Train,Meal Train,2/10/25,2025-02-10 16:00:00.0000000 -06:00,2025-02-10 19:00:00.0000000 -06:00,Sisu Youth Services
122065558,3/10/25,Completed,Volunteer,Meal Train,Meal Train,3/10/25,2025-03-10 16:00:00.0000000 -05:00,2025-03-10 19:00:00.0000000 -05:00,Sisu Youth Services
122065558,4/17/25,Completed,Volunteer,Meal Train,Meal Train,4/14/25,2025-04-14 16:00:00.0000000 -05:00,2025-04-14 19:00:00.0000000 -05:00,Sisu Youth Services
122065558,8/18/25,Completed,Volunteer,Meal Train,Meal Train,7/14/25,2025-07-14 16:00:00.0000000 -05:00,2025-07-14 19:00:00.0000000 -05:00,Sisu Youth Services
122065558,6/26/25,Completed,Volunteer,Meal Train,Meal Train,6/9/25,2025-06-09 16:00:00.0000000 -05:00,2025-06-09 19:00:00.0000000 -05:00,Sisu Youth Services
122065558,1/27/26,Completed,Volunteer,Meal Train,Meal Train,12/8/25,2025-12-08 16:00:00.0000000 -06:00,2025-12-08 19:00:00.0000000 -06:00,Sisu Youth Services
